[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S11_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,test1
