[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,02/02/2012,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentPastDate,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,02/02/2012,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidPaymentPastDate,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,02/02/2012,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidPaymentPastDate,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,02/02/2012,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidPaymentPastDate,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidPaymentFutureDate,action,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,02/02/2012,action,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
